π œœ	◊‡ÒÚÓÚ‡, Ã√ˆ	≈Ò+Ô, ‰¡ÏÍ¬/Ï	≈Ô, ‰¡ÏÍ¬/Ï	œœ, Í√ˆ
1	10.000000	23.40	23.47	510.000
2	10.510000	23.30	23.50	510.000
3	11.020000	23.24	23.49	510.000
4	11.530000	23.89	23.84	510.000
5	12.040000	24.17	23.87	510.000
6	12.550000	24.52	24.57	510.000
7	13.060000	24.99	24.95	510.000
8	13.570000	25.39	25.24	510.000
9	14.080000	25.69	25.49	510.000
10	14.590000	25.97	26.10	510.000
11	15.100000	26.40	26.48	510.000
12	15.610000	26.83	26.55	510.000
13	16.120000	26.54	26.68	510.000
14	16.630000	26.50	26.75	510.000
15	17.140000	26.59	26.35	510.000
16	17.650000	26.42	26.23	510.000
17	18.160000	26.53	26.16	510.000
18	18.670000	26.31	26.51	510.000
19	19.180000	26.32	26.11	510.000
20	19.690000	26.24	26.18	510.000
21	20.200000	26.84	26.77	510.000
22	20.710000	26.70	27.16	510.000
23	21.220000	26.87	27.32	510.000
24	21.730000	27.58	27.25	510.000
25	22.240000	27.02	26.96	510.000
26	22.750000	26.98	27.03	510.000
27	23.260000	27.22	26.96	510.000
28	23.770000	27.94	27.42	510.000
29	24.280000	27.56	27.54	510.000
30	24.790000	27.04	27.13	510.000
31	25.300000	27.13	27.00	510.000
32	25.810000	27.26	26.97	510.000
33	26.320000	27.09	26.82	510.000
34	26.830000	27.15	26.88	510.000
35	27.340000	27.07	26.53	510.000
36	27.850000	26.41	26.69	510.000
37	28.360000	26.12	26.70	510.000
38	28.870000	26.28	26.84	510.000
39	29.380000	26.13	26.52	510.000
40	29.890000	26.09	26.74	510.000
41	30.400000	26.57	26.38	510.000
42	30.910000	27.01	26.43	510.000
43	31.420000	26.57	26.32	510.000
44	31.930000	27.17	26.08	510.000
45	32.440000	26.86	25.40	510.000
46	32.950000	26.23	24.87	510.000
47	33.460000	25.52	24.03	510.000
48	33.970000	25.92	23.60	510.000
49	34.480000	25.68	23.38	510.000
50	34.990000	25.25	22.36	510.000
51	35.500000	25.75	22.38	510.000
52	36.010000	26.24	21.37	510.000
53	36.520000	26.55	20.94	510.000
54	37.030000	26.66	20.35	510.000
55	37.540000	26.72	20.01	510.000
56	38.050000	26.67	19.90	510.000
57	38.560000	27.55	20.34	510.000
58	39.070000	27.82	19.70	510.000
59	39.580000	27.17	20.17	510.000
60	40.090000	27.49	20.31	510.000
61	40.600000	27.60	21.21	510.000
62	41.110000	27.24	21.28	510.000
63	41.620000	26.92	22.60	510.000
64	42.130000	27.20	22.25	510.000
65	42.640000	27.15	22.28	510.000
66	43.150000	26.68	22.63	510.000
67	43.660000	26.29	23.23	510.000
68	44.170000	25.69	23.44	510.000
69	44.680000	24.70	24.89	510.000
70	45.190000	23.85	25.91	510.000
71	45.700000	23.42	27.45	510.000
72	46.210000	23.03	27.23	510.000
