π œœ	◊‡ÒÚÓÚ‡, Ã√ˆ	≈Ò+Ô, ‰¡ÏÍ¬/Ï	≈Ô, ‰¡ÏÍ¬/Ï	œœ, Í√ˆ
1	10.000000	10.06	10.39	100.000
2	10.100000	10.24	10.34	100.000
3	10.200000	10.17	9.96	100.000
4	10.300000	9.94	11.10	100.000
5	10.400000	10.12	10.13	100.000
6	10.500000	9.94	10.29	100.000
7	10.600000	10.34	10.14	100.000
8	10.700000	10.15	10.15	100.000
9	10.800000	10.77	10.36	100.000
10	10.900000	10.16	10.32	100.000
11	11.000000	10.35	10.37	100.000
12	11.100000	10.58	11.07	100.000
13	11.200000	10.62	9.97	100.000
14	11.300000	10.72	10.20	100.000
15	11.400000	10.48	10.35	100.000
16	11.500000	10.72	10.56	100.000
17	11.600000	10.77	10.58	100.000
18	11.700000	10.94	10.30	100.000
19	11.800000	11.68	10.57	100.000
20	11.900000	11.23	10.99	100.000
21	12.000000	11.19	10.86	100.000
22	12.100000	11.12	11.50	100.000
23	12.200000	11.25	10.60	100.000
24	12.300000	11.63	11.44	100.000
25	12.400000	10.91	10.83	100.000
26	12.500000	11.67	10.78	100.000
27	12.600000	10.94	11.29	100.000
28	12.700000	11.76	11.95	100.000
29	12.800000	11.84	11.34	100.000
30	12.900000	12.20	11.44	100.000
31	13.000000	11.44	11.76	100.000
32	13.100000	11.43	11.76	100.000
33	13.200000	11.78	12.41	100.000
34	13.300000	11.80	12.06	100.000
35	13.400000	12.00	11.69	100.000
36	13.500000	11.99	12.18	100.000
37	13.600000	11.90	12.27	100.000
38	13.700000	12.45	12.02	100.000
39	13.800000	12.09	11.76	100.000
40	13.900000	11.85	12.10	100.000
41	14.000000	12.64	13.17	100.000
42	14.100000	12.74	12.41	100.000
43	14.200000	12.40	12.72	100.000
44	14.300000	12.28	12.16	100.000
45	14.400000	12.36	13.03	100.000
46	14.500000	12.77	13.01	100.000
47	14.600000	12.78	13.13	100.000
48	14.700000	13.01	12.89	100.000
49	14.800000	12.80	12.93	100.000
50	14.900000	13.42	13.30	100.000
51	15.000000	13.00	12.87	100.000
52	15.100000	12.80	13.40	100.000
53	15.200000	13.56	13.83	100.000
54	15.300000	13.02	13.94	100.000
55	15.400000	13.25	13.52	100.000
56	15.500000	13.13	13.21	100.000
57	15.600000	13.57	13.73	100.000
58	15.700000	13.36	13.30	100.000
59	15.800000	13.61	13.11	100.000
60	15.900000	13.69	13.08	100.000
61	16.000000	13.44	13.83	100.000
62	16.100000	13.22	13.28	100.000
63	16.200000	13.98	13.20	100.000
64	16.300000	14.23	13.57	100.000
65	16.400000	13.09	13.07	100.000
66	16.500000	13.10	13.89	100.000
67	16.600000	14.09	12.83	100.000
68	16.700000	13.84	13.06	100.000
69	16.800000	13.62	13.71	100.000
70	16.900000	13.99	13.49	100.000
71	17.000000	13.92	13.28	100.000
72	17.100000	13.43	13.21	100.000
73	17.200000	14.31	13.14	100.000
74	17.300000	13.16	13.18	100.000
75	17.400000	12.90	13.53	100.000
76	17.500000	12.74	13.42	100.000
77	17.600000	13.79	13.14	100.000
78	17.700000	13.78	13.05	100.000
79	17.800000	12.73	13.84	100.000
80	17.900000	13.24	13.23	100.000
81	18.000000	12.97	12.77	100.000
82	18.100000	13.36	13.63	100.000
83	18.200000	13.38	13.04	100.000
84	18.300000	14.10	12.94	100.000
85	18.400000	13.70	13.11	100.000
86	18.500000	13.38	13.77	100.000
87	18.600000	13.35	13.27	100.000
88	18.700000	13.14	12.85	100.000
89	18.800000	13.31	13.68	100.000
90	18.900000	13.03	13.31	100.000
91	19.000000	13.61	13.06	100.000
92	19.100000	13.06	13.09	100.000
93	19.200000	12.86	13.23	100.000
94	19.300000	13.73	13.95	100.000
95	19.400000	13.85	13.52	100.000
96	19.500000	12.98	13.20	100.000
97	19.600000	13.79	14.44	100.000
98	19.700000	12.99	13.26	100.000
99	19.800000	12.90	13.34	100.000
100	19.900000	12.84	13.40	100.000
101	20.000000	13.30	13.25	100.000
102	20.100000	13.74	13.40	100.000
103	20.200000	13.68	12.92	100.000
104	20.300000	13.73	13.64	100.000
105	20.400000	13.82	13.58	100.000
106	20.500000	14.03	13.27	100.000
107	20.600000	13.60	13.17	100.000
108	20.700000	13.79	13.94	100.000
109	20.800000	13.83	13.72	100.000
110	20.900000	14.65	13.25	100.000
111	21.000000	13.88	13.52	100.000
112	21.100000	14.21	13.28	100.000
113	21.200000	14.63	13.30	100.000
114	21.300000	13.80	14.25	100.000
115	21.400000	14.15	14.59	100.000
116	21.500000	14.71	13.62	100.000
117	21.600000	14.13	14.74	100.000
118	21.700000	14.44	13.88	100.000
119	21.800000	13.64	14.58	100.000
120	21.900000	14.79	13.71	100.000
121	22.000000	14.79	13.81	100.000
122	22.100000	14.60	15.01	100.000
