                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	14.25	3.90	100.000	0.10	0.20
2	277.000000	12.28	4.81	100.000	0.10	0.20
3	415.500000	21.34	7.72	100.000	0.10	0.20
4	554.000000	28.86	10.20	100.000	0.10	0.20
5	692.500000	37.07	11.68	100.000	0.10	0.20
6	831.000000	25.62	13.81	100.000	0.10	0.20
7	969.500000	30.33	15.70	100.000	0.10	0.20
8	1108.000000	21.21	15.70	100.000	0.10	0.20
9	1246.500000	31.36	16.60	100.000	0.10	0.20
10	1523.500000	35.59	18.11	100.000	0.10	0.20
11	1662.000000	36.37	18.69	100.000	0.10	0.20
12	1800.500000	31.76	20.00	100.000	0.10	0.20
13	1869.750000	23.77	20.24	100.000	0.10	0.20
14	1939.000000	29.35	20.45	100.000	0.10	0.20
