                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	12.41	3.90	100.000	0.10	0.20
2	277.000000	14.25	4.81	100.000	0.10	0.20
3	415.500000	18.39	7.72	100.000	0.10	0.20
4	554.000000	23.15	10.20	100.000	0.10	0.20
5	692.500000	33.28	11.68	100.000	0.10	0.20
6	831.000000	24.26	13.81	100.000	0.10	0.20
7	969.500000	33.55	15.70	100.000	0.10	0.20
8	1108.000000	23.47	15.70	100.000	0.10	0.20
9	1177.250000	21.31	16.56	100.000	0.10	0.20
10	1246.500000	27.48	16.60	100.000	0.10	0.20
11	1523.500000	36.28	18.11	100.000	0.10	0.20
12	1662.000000	35.26	18.69	100.000	0.10	0.20
13	1800.500000	36.37	20.00	100.000	0.10	0.20
14	1939.000000	34.62	20.45	100.000	0.10	0.20
