                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	14.05	3.90	100.000	0.10	0.20
2	277.000000	10.01	4.81	100.000	0.10	0.20
3	415.500000	20.89	7.72	100.000	0.10	0.20
4	554.000000	20.97	10.20	100.000	0.10	0.20
5	692.500000	37.50	11.68	100.000	0.10	0.20
6	831.000000	22.87	13.81	100.000	0.10	0.20
7	969.500000	31.79	15.70	100.000	0.10	0.20
8	1177.250000	22.78	16.56	100.000	0.10	0.20
9	1246.500000	28.32	16.60	100.000	0.10	0.20
10	1523.500000	35.12	18.11	100.000	0.10	0.20
11	1662.000000	25.77	18.69	100.000	0.10	0.20
12	1800.500000	31.36	20.00	100.000	0.10	0.20
13	1939.000000	28.67	20.45	100.000	0.10	0.20
