                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.622222	13.48	4.19	100.000	0.10	0.20
2	215.433333	30.12	2.57	100.000	0.10	0.20
3	287.244444	32.93	3.99	100.000	0.10	0.20
4	359.055556	31.11	5.97	100.000	0.10	0.20
5	430.866667	16.15	7.18	100.000	0.10	0.20
6	502.677778	16.52	8.96	100.000	0.10	0.20
7	646.300000	21.54	10.92	100.000	0.10	0.20
8	718.111111	30.37	11.62	100.000	0.10	0.20
9	789.922222	35.61	13.11	100.000	0.10	0.20
10	861.733333	30.39	14.04	100.000	0.10	0.20
11	933.544444	24.90	14.83	100.000	0.10	0.20
12	1005.355556	23.81	15.26	100.000	0.10	0.20
13	1220.788889	22.17	16.84	100.000	0.10	0.20
14	1292.600000	25.16	17.10	100.000	0.10	0.20
15	1364.411111	29.18	17.17	100.000	0.10	0.20
16	1508.033333	29.34	18.15	100.000	0.10	0.20
17	1651.655556	27.14	18.69	100.000	0.10	0.20
18	1867.088889	24.97	19.56	100.000	0.10	0.20
