                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.622222	9.59	4.19	100.000	0.10	0.20
2	215.433333	24.30	2.57	100.000	0.10	0.20
3	287.244444	18.12	3.99	100.000	0.10	0.20
4	359.055556	18.31	5.97	100.000	0.10	0.20
5	430.866667	15.13	7.18	100.000	0.10	0.20
6	502.677778	18.19	8.96	100.000	0.10	0.20
7	718.111111	22.14	11.62	100.000	0.10	0.20
8	789.922222	23.25	13.11	100.000	0.10	0.20
9	861.733333	26.47	14.04	100.000	0.10	0.20
10	1077.166667	25.59	15.66	100.000	0.10	0.20
11	1220.788889	22.69	16.84	100.000	0.10	0.20
12	1292.600000	26.81	17.10	100.000	0.10	0.20
13	1364.411111	26.24	17.17	100.000	0.10	0.20
14	1436.222222	32.25	17.62	100.000	0.10	0.20
15	1508.033333	29.09	18.15	100.000	0.10	0.20
16	1651.655556	26.43	18.69	100.000	0.10	0.20
17	1867.088889	26.17	19.56	100.000	0.10	0.20
18	1938.900000	28.61	20.98	100.000	0.10	0.20
