                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.622222	13.17	4.19	100.000	0.10	0.20
2	215.433333	29.21	2.57	100.000	0.10	0.20
3	287.244444	27.69	3.99	100.000	0.10	0.20
4	359.055556	20.04	5.97	100.000	0.10	0.20
5	502.677778	15.44	8.96	100.000	0.10	0.20
6	646.300000	17.69	10.92	100.000	0.10	0.20
7	718.111111	17.91	11.62	100.000	0.10	0.20
8	789.922222	20.82	13.11	100.000	0.10	0.20
9	861.733333	23.13	14.04	100.000	0.10	0.20
10	933.544444	21.98	14.83	100.000	0.10	0.20
11	1005.355556	21.23	15.26	100.000	0.10	0.20
12	1148.977778	20.83	16.06	100.000	0.10	0.20
13	1220.788889	29.71	16.84	100.000	0.10	0.20
14	1292.600000	28.74	17.10	100.000	0.10	0.20
15	1364.411111	31.86	17.17	100.000	0.10	0.20
16	1436.222222	31.84	17.62	100.000	0.10	0.20
17	1508.033333	25.84	18.15	100.000	0.10	0.20
18	1651.655556	27.73	18.69	100.000	0.10	0.20
19	1723.466667	24.78	19.15	100.000	0.10	0.20
20	1795.277778	26.41	20.33	100.000	0.10	0.20
21	1938.900000	27.25	20.98	100.000	0.10	0.20
