                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	71.811111	11.00	1.35	100.000	0.10	0.20
2	143.622222	8.82	4.19	100.000	0.10	0.20
3	215.433333	27.24	2.57	100.000	0.10	0.20
4	287.244444	25.20	3.99	100.000	0.10	0.20
5	359.055556	14.90	5.97	100.000	0.10	0.20
6	430.866667	16.69	7.18	100.000	0.10	0.20
7	502.677778	20.20	8.96	100.000	0.10	0.20
8	574.488889	18.96	9.63	100.000	0.10	0.20
9	646.300000	19.26	10.92	100.000	0.10	0.20
10	718.111111	26.98	11.62	100.000	0.10	0.20
11	789.922222	33.90	13.11	100.000	0.10	0.20
12	861.733333	25.85	14.04	100.000	0.10	0.20
13	933.544444	26.31	14.83	100.000	0.10	0.20
14	1005.355556	23.26	15.26	100.000	0.10	0.20
15	1077.166667	21.83	15.66	100.000	0.10	0.20
16	1148.977778	21.88	16.06	100.000	0.10	0.20
17	1220.788889	25.56	16.84	100.000	0.10	0.20
18	1292.600000	23.33	17.10	100.000	0.10	0.20
19	1364.411111	24.96	17.17	100.000	0.10	0.20
20	1436.222222	25.81	17.62	100.000	0.10	0.20
21	1508.033333	32.13	18.15	100.000	0.10	0.20
22	1579.844444	24.75	18.24	100.000	0.10	0.20
23	1651.655556	23.58	18.69	100.000	0.10	0.20
24	1938.900000	27.47	20.98	100.000	0.10	0.20
