                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	13.82	3.45	100.000	0.10	0.20
2	277.000000	12.83	4.08	100.000	0.10	0.20
3	277.000000	11.85	4.08	100.000	0.10	0.20
4	415.500000	24.72	7.76	100.000	0.10	0.20
5	554.000000	24.99	10.58	100.000	0.10	0.20
6	692.500000	39.22	11.64	100.000	0.10	0.20
7	831.000000	20.96	13.36	100.000	0.10	0.20
8	969.500000	23.02	15.17	100.000	0.10	0.20
9	1177.250000	20.45	16.39	100.000	0.10	0.20
10	1246.500000	25.12	16.67	100.000	0.10	0.20
11	1523.500000	28.80	18.63	100.000	0.10	0.20
12	1662.000000	30.13	18.89	100.000	0.10	0.20
13	1800.500000	24.75	19.32	100.000	0.10	0.20
