                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	15.75	3.45	100.000	0.10	0.20
2	277.000000	15.28	4.08	100.000	0.10	0.20
3	415.500000	18.28	7.76	100.000	0.10	0.20
4	554.000000	25.86	10.58	100.000	0.10	0.20
5	692.500000	32.36	11.64	100.000	0.10	0.20
6	831.000000	19.89	13.36	100.000	0.10	0.20
7	969.500000	31.94	15.17	100.000	0.10	0.20
8	1177.250000	21.49	16.39	100.000	0.10	0.20
9	1246.500000	30.12	16.67	100.000	0.10	0.20
10	1523.500000	34.49	18.63	100.000	0.10	0.20
11	1592.750000	23.54	18.53	100.000	0.10	0.20
12	1662.000000	27.52	18.89	100.000	0.10	0.20
13	1800.500000	34.74	19.32	100.000	0.10	0.20
14	1939.000000	29.05	20.79	100.000	0.10	0.20
