                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	14.24	3.45	100.000	0.10	0.20
2	277.000000	12.00	4.08	100.000	0.10	0.20
3	415.500000	15.92	7.76	100.000	0.10	0.20
4	554.000000	16.80	10.58	100.000	0.10	0.20
5	692.500000	28.80	11.64	100.000	0.10	0.20
6	831.000000	18.98	13.36	100.000	0.10	0.20
7	969.500000	30.25	15.17	100.000	0.10	0.20
8	1108.000000	24.50	15.45	100.000	0.10	0.20
9	1177.250000	23.74	16.39	100.000	0.10	0.20
10	1246.500000	29.44	16.67	100.000	0.10	0.20
11	1523.500000	30.53	18.63	100.000	0.10	0.20
12	1592.750000	22.46	18.53	100.000	0.10	0.20
13	1662.000000	28.29	18.89	100.000	0.10	0.20
14	1800.500000	26.99	19.32	100.000	0.10	0.20
15	1869.750000	23.87	19.61	100.000	0.10	0.20
