                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	14.01	3.45	100.000	0.10	0.20
2	277.000000	15.34	4.08	100.000	0.10	0.20
3	415.500000	22.04	7.76	100.000	0.10	0.20
4	554.000000	30.24	10.58	100.000	0.10	0.20
5	692.500000	36.50	11.64	100.000	0.10	0.20
6	831.000000	22.91	13.36	100.000	0.10	0.20
7	969.500000	24.28	15.17	100.000	0.10	0.20
8	1177.250000	23.44	16.39	100.000	0.10	0.20
9	1246.500000	24.24	16.67	100.000	0.10	0.20
10	1523.500000	31.63	18.63	100.000	0.10	0.20
11	1592.750000	23.51	18.53	100.000	0.10	0.20
12	1800.500000	29.37	19.32	100.000	0.10	0.20
