                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.617391	11.15	3.40	100.000	0.10	0.20
2	215.426087	21.81	2.30	100.000	0.10	0.20
3	287.234783	18.40	4.68	100.000	0.10	0.20
4	359.043478	20.64	5.40	100.000	0.10	0.20
5	718.086957	20.33	11.33	100.000	0.10	0.20
6	789.895652	25.03	12.53	100.000	0.10	0.20
7	1364.365217	22.86	17.51	100.000	0.10	0.20
8	1507.982609	23.61	17.92	100.000	0.10	0.20
9	1651.600000	23.00	18.91	100.000	0.10	0.20
10	1938.834783	26.51	19.63	100.000	0.10	0.20
