                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.617391	11.22	3.40	100.000	0.10	0.20
2	215.426087	25.08	2.30	100.000	0.10	0.20
3	287.234783	23.86	4.68	100.000	0.10	0.20
4	359.043478	24.17	5.40	100.000	0.10	0.20
5	430.852174	18.29	7.34	100.000	0.10	0.20
6	502.660870	16.33	9.98	100.000	0.10	0.20
7	718.086957	24.10	11.33	100.000	0.10	0.20
8	789.895652	19.22	12.53	100.000	0.10	0.20
9	861.704348	23.71	14.04	100.000	0.10	0.20
10	933.513043	23.67	14.93	100.000	0.10	0.20
11	1005.321739	22.02	15.42	100.000	0.10	0.20
12	1077.130435	24.55	16.18	100.000	0.10	0.20
13	1220.747826	23.78	16.21	100.000	0.10	0.20
14	1507.982609	22.94	17.92	100.000	0.10	0.20
15	1651.600000	24.53	18.91	100.000	0.10	0.20
16	1938.834783	25.11	19.63	100.000	0.10	0.20
