                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.607407	11.71	3.40	100.000	0.10	0.20
2	215.411111	24.23	2.30	100.000	0.10	0.20
3	287.214815	24.32	4.68	100.000	0.10	0.20
4	359.018519	26.71	5.40	100.000	0.10	0.20
5	430.822222	13.78	7.88	100.000	0.10	0.20
6	574.429630	18.57	11.80	100.000	0.10	0.20
7	646.233333	19.67	0.00	100.000	0.10	0.20
8	718.037037	23.73	11.93	100.000	0.10	0.20
9	789.840741	22.80	13.03	100.000	0.10	0.20
10	861.644444	20.52	0.00	100.000	0.10	0.20
11	933.448148	19.89	14.15	100.000	0.10	0.20
12	1005.251852	18.76	15.42	100.000	0.10	0.20
13	1077.055556	20.82	16.18	100.000	0.10	0.20
14	1292.466667	20.27	17.11	100.000	0.10	0.20
15	1651.600000	24.80	18.91	100.000	0.10	0.20
16	1795.217391	25.25	19.79	100.000	0.10	0.20
17	1938.834783	28.62	19.63	100.000	0.10	0.20
