                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.617391	11.29	3.40	100.000	0.10	0.20
2	215.426087	19.18	2.30	100.000	0.10	0.20
3	287.234783	19.12	4.68	100.000	0.10	0.20
4	359.043478	14.62	5.40	100.000	0.10	0.20
5	430.852174	16.46	7.34	100.000	0.10	0.20
6	502.660870	15.38	9.98	100.000	0.10	0.20
7	574.469565	16.97	11.13	100.000	0.10	0.20
8	718.086957	19.68	11.33	100.000	0.10	0.20
9	789.895652	23.49	12.53	100.000	0.10	0.20
10	861.704348	20.05	14.04	100.000	0.10	0.20
11	933.513043	24.10	14.93	100.000	0.10	0.20
12	1005.321739	22.04	15.42	100.000	0.10	0.20
13	1077.130435	24.90	16.18	100.000	0.10	0.20
14	1148.939130	20.56	15.64	100.000	0.10	0.20
15	1292.556522	22.57	16.72	100.000	0.10	0.20
16	1507.982609	23.41	17.92	100.000	0.10	0.20
17	1579.791304	24.08	18.34	100.000	0.10	0.20
18	1795.217391	24.54	19.79	100.000	0.10	0.20
19	1938.834783	25.05	19.63	100.000	0.10	0.20
